decile,n,event_rate,avg_score,lift_vs_base
1,600,0.215,0.22308333244154283,3.5833333332736115
2,600,0.10666666666666667,0.10228692681087358,1.7777777777481483
3,600,0.06,0.0719502196743235,0.9999999999833333
4,600,0.06833333333333333,0.05673093155122311,1.1388888888699074
5,600,0.041666666666666664,0.04555964692959346,0.6944444444328703
6,600,0.041666666666666664,0.03725216399468295,0.6944444444328703
7,600,0.03,0.03099552937733319,0.49999999999166667
8,600,0.013333333333333334,0.025314401571659137,0.22222222221851853
9,600,0.02,0.019944450053668236,0.3333333333277778
10,600,0.0033333333333333335,0.0125447018786434,0.05555555555462963
